title,skills,salary,company,description,link
Senior Python developer,"Python,Комунікабельність,MongoDB,Django,REST API,REST,Програмування,Flask,AWS",,G Rocks,"Про нас: G.Rocks — інноваційна компанія, яка розробляє та випускає власні мобільні додатки. Ми створюємо продукти світового класу, які спрощують повсякденне життя людей. Обов’язки:  Розробка, реалізація та підтримка високопродуктивних та масштабованих рішень на основі Python.  Співпраця з командою інженерів та менеджерів продуктів для розробки та впровадження нових функцій та покращень.  Огляд коду, наставництво та навчання молодших розробників.  Участь у технічних обговореннях та прийнятті рішень, що впливають на архітектуру системи.  Дотримання передових практик розробки програмного забезпечення та стандартів галузі.  Постійне вивчення нових технологій та тенденцій в екосистемі Python.  Вимоги:  5+ років професійного досвіду розробки на Python.  Глибоке розуміння об'єктно-орієнтованого програмування, структур даних та алгоритмів.  Досвід з ML  Досвід з побудови Rest API   Знання веб-фреймворків, таких як Django або Flask.  Досвід роботи з хмарними платформами, такими як AWS або Azure.  Навички роботи з базами даних, такими як PostreSQL або MongoDB.  Відмінні комунікативні та міжособистісні навички.  Ми пропонуємо:  Конкурентоспроможну заробітну плату  Можливість працювати над захоплюючими проектами та впливати на життя людей  Дружній та підтримувальний колектив  Можливості для професійного зростання та розвитку  Якщо ви шукаєте виклик і можливість зробити свій внесок у створення інноваційних продуктів, ми заохочуємо вас подати заявку на цю вакансію.",https://www.work.ua/en/jobs/5750923/
Python Developer,"Java,PHP,MySQL,Git,GitHub,GitLab,JavaScript,Python,C++,PostgreSQL,React,Відповідальність,MongoDB,Docker,Програмування,Знання принципів ООП,AWS,C#",,PNN Soft,"Requirements:  Bachelor’s or Master’s degree in Computer Science   We are looking for Full-Stack Python + JS/React development, ready to implement the entire cycle of tasks: both back and front-end   Commercial experience in development using the Python programming language  Experience with MySQL/PostgreSQL/MongoDB or other databases   Experience with hosting Git repositories (GitHub, GitLab, Bitbucket)   English — Intermediate level and above   Strong understanding of object-oriented programming and software development principles  Will be a plus:  Experience with Docker   Experience with Cloud technologies, Amazon Web Services (AWS), and Google Drive API  Experience working with programming languages (PHP, JS, Java, C/C++, C #)  Responsibilities:  Development and improvement of software products of both back and front-end parts of tasks   Promotion of new functional capabilities and upgrading of essential additions   Use of best practices for software development and testing, compliance with technical standards, and code quality requirements adopted by the project  Advantages:  Competitive salary  Opportunities for career growth in a successful and innovative IT company  Friendly and dynamic work environment  Corporate English  Conditions:  Full-time position  On-site or remote work options",https://www.work.ua/en/jobs/5536195/
Python developer (Middle/Senior),"Користувач ОС Linux,Git,Python,PostgreSQL,Django,Django Rest Framework,Unit-тестування,REST API,REST,Уважність,ORM,PyTest,Розробка API",,Project Ukraine,"Pythagoras Technology є частиною екосистеми британської компанії Ruliad. Ми створюємо інновації у сфері гостинності та ритейлі. Один із наших проєктів — DRINKSTAR. Ми прагнемо зробити світ кращим за допомогою провідної соціальної мережі гостинності. Наша платформа розвиває deep media, об'єднані унікальною моделлю даних Principia Mercimonia, щоб запропонувати більше, ніж просто обмін фотографіями та відеоматеріалами. Завдяки вдосконаленому розпізнаванню продуктів ШІ ми відкриваємо нову еру в дослідженні напоїв та їжі. Ми об'єднуємо професіоналів, любителів напоїв та підприємців для зручного навчання, спілкування та збільшення прибутку на одній платформі. Вимоги:  5+ роки комерційного досвіду на аналогічній посаді;  Досвід роботи з Python 3.8+, Django, PostgreSQL, Git;  Досвід розробки REST api та роботи з Django Rest Framework;  Досвід роботи зі складними запитами в Django ORM (annotations, aggregations, subquery) обов? язковий;  Досвід проектування архітектури бази даних;  Вміння та бажання писати юніт тести (Pytest/Unittest);  Досвід роботи з вже існуючим кодом, навички рефакторингу та оптимізації;  Вміння користуватися командною строкою Linux;  Уважність до деталей;  Вміння самоорганізуватися у форматі віддаленої роботи.  Обов’язки:  Розробка нового функціоналу;  Доопрацювання та удосконалення існуючого, оптимізація.  Чому варто обрати нас:  Конкурентоспроможна стартова зарплата. Ми говоримо «стартова», тому що ми шукаємо людей, які готові робити внесок у роботу. Ваша зарплата буде зростати відповідно до цього внеску — без обмежень;  Ми пропагуємо життя, наповнене сенсом. Ваша робота тут сприятиме важливій меті розробити технології, які змінять світ на краще;  Найкраща команда. Ми зібрали цікавих (і дивакуватих) людей, які люблять кидати і приймати професійні виклики;  4 тижні (21 робочий день) відпустки на рік та 10 днів лікарняного на рік за рахунок компанії. Ці умови передбачають оновлення в майбутньому;  Можливість працювати з будь-якої точки Галактики.",https://www.work.ua/en/jobs/5722903/
Full-stack програміст на Python (Strong Junior),"JavaScript,SQL,Python,Комунікабельність,Відповідальність,jQuery,Django,Django Rest Framework,Робота в команді,MS SQL Server,Frontend-розробка",29000 UAH,Аптека АНЦ,"Привіт! Лідер аптечного ринку, мережа «Аптека Низьких Цін», ШАР @, Копійка, Благодія, запрошує тебе в нашу сім'ю. Зараз наша мережа — це більше 1000 аптек. Ми перші роботизовані аптеки в Україні і на цьому не зупиняємося. Ми шукаємо людей, які вміють справляти враження і закохані в свою справу. Можливо, це саме ти? Необхідні знання та вміння:   Шукаємо Full Stack розробника python + javascript, готового реалізовувати весь цикл задачі: і back, і front-end.  Бажаний стек: python3, django, DRF, ms sql (або інші СУБД) По фронту використовуємо: javascript, jquery  Основна ціль посади:  Реалізація і back, і front-end частин задач.  Умови роботи:  Роботу в дружній команді результативних професіоналів;  Гідний рівень доходу (обговорюється при співбесіді);  Офіційне працевлаштування;  Довгострокові відносини і можливість професійного розвитку.  Стань частиною нашої сім'ї і відкрий свій потенціал! Ми дбаємо про своїх співробітників і хочемо надихати їх на нові досягнення, тому разом ми сильніше і успішніше! Сподіваємося на твій внесок в активність і справжню турботу про колег і клієнтів, відкритість і комунікабельність, відповідальність і винахідливість. Залишилися питання? Надсилай своє резюме, телефонуй  +38050 — 364 — 88 — 74 Show phone , або проходь співбесіду з нашим чат-ботом, скануй QR код або переходь за посиланнями:  https://cutt.ly/anchrbot  (Viber) або  https://t.me/anc_hr_bot  (Telegram).",https://www.work.ua/en/jobs/5055123/
"Data Engineer (SQL, Python, Pandas)","SQL,Python,pandas",,World Food Programme,"Всесвітня продовольча програма (ВПП ООН) — це гуманітарна організація ООН, яка надає продовольчу допомогу у вигляді грошової допомоги, сертифікатів або продуктів харчування громадам, що постраждали від війни. У своїй діяльності ВПП керується гуманітарними принципами нейтралітету, неупередженості, гуманності та незалежності. Спираючись на пристрасть, відданість та професіоналізм наших 24 000 співробітників по всьому світу, Всесвітня продовольча програма (ВПП) працює в понад 123 країнах і територіях, щоб доставляти життєво необхідну їжу людям, які залишилися переміщеними внаслідок конфлікту та знедоленими внаслідок катастроф. Крім того, ВПП допомагає окремим особам і громадам знайти кардинальні рішення для багатьох проблем, з якими вони стикаються, будуючи краще майбутнє.  WFP celebrates and embraces diversity. It is committed to the principle of equal employment opportunity for all its employees and encourages qualified candidates to apply irrespective of race, colour, national origin, ethnic or social background, genetic information, gender, gender identity and/or expression, sexual orientation, religion or belief, HIV status or disability.  🚩 Vacancy Announcement n°: JR102385 📢 Job Title: Data Engineer (SQL, Python/Pandas) 📌Type of Contract: Service Contract,SC9 ➡️ Unit / Division: Programme / WFP Ukraine  📍   Duty Station: Kyiv ➡️ Duration: 12 months (renewable)  ⏰ Closing date:  4th August 2024 , midnight (Central European Time)  Резюме приймаються виключно через WFP’s recruitment portal: https://wd3.myworkdaysite.com/recruiting/wfp/job_openings/job/Kyiv-Ukraine/Data-Engineer--SQL--Python-Pandas--SC9_JR102385   ABOUT WFP The World Food Programme is the world’s largest humanitarian organization saving lives in emergencies and using food assistance to build a pathway to peace, stability and prosperity, for people recovering from conflict, disasters and the impact of climate change.  At WFP, people are at the heart of everything we do, and the vision of the future WFP workforce is one of diverse, committed, skilled, and high performing teams, selected on merit, operating in a healthy and inclusive work environment, living WFP’s values (Integrity, Collaboration, Commitment, Humanity, and Inclusion) and working with partners to save and change the lives of those WFP serves.  To learn more about WFP, visit our website:  UN World Food Programme (WFP)  and follow us on social media to keep up with our latest news:  YouTube ,  LinkedIn ,  Instagram ,  Facebook ,  Twitter .  Why work with us?  The war in Ukraine has had drastic consequences, both for people inside the country and for those around the world dependent on its huge grain supplies. It is inflicting untold suffering on civilians, displace families, and disrupt supply chains and food production. It has caused one of the fastest forced population movements since the Second World War. Close to 6 million Ukrainians are still living as refugees across Europe, and almost 5.1 million are internally displaced. Many have lost their homes and livelihoods. As food production and supply lines are disrupted by fighting, many families in the east and south do not have reliable access to nutritious food.  WFP uses a flexible mix of food and cash assistance to support communities affected by the war wherever they are. This includes working with local partners to distribute food rations in areas near the frontline and providing cash transfers wherever people have access to banks and markets to buy food. Since March 2022, WFP has distributed food and cash assistance equivalent to 2.4 billion meals to families displaced and affected by the war, partnering directly with local responders.  ➡️ WFP is a 2020 Nobel Peace Prize Laureate.  ➡️ WFP offers a highly inclusive, diverse and multicultural working environment.  ➡️ WFP invests in the personal & professional development of its employees through a range of trainings, accreditation, coaching, mentorship and other programs as well as through internal mobility opportunities.  ➡️ A career path in WFP provides an exciting opportunity to work across various country, regional and global offices around the world, and with passionate colleagues who work tirelessly to ensure that effective humanitarian assistance reaches millions of people across the globe.  How can you make a difference? In this position, you will have to:     Design, construct, install, test and maintain highly scalable data management systems  Employ a variety of languages and tools (e.g. scripting languages) to marry systems together  Research opportunities for data acquisition and new uses for existing data  Work together with data analyst to model data for staging into a data warehouse and architect data warehouse multidimensional models  Develop data set processes for data modelling, mining, and production  Integrate new data management technologies and software engineering tools into existing structures  Collaborate with data architects, modelers, and IT team members on project goals  Build data pipelines to collect data and move it into storage  Prepare the data as part of an ETL or ELT process  Work with complex technical data stores such as Hadoop, Amazon S3, relational databases, Azure BLOB, Azure Data Lake store, and MS Azure DW  Stitch data together with scripting languages  Work with application DBA and modelers to construct data stores  Ensure that data validation processes, data quality control standards, testing strategy and test plans for data services are applied to applications  Work with the data assurance and transfer management Leads to refine and tighten the security framework and access control for internal and external information/data sharing  Work with the data assurance and transfer management Leads to develop governance processes for managing services (version control), support services, service migration, monitoring and evaluation of services  Document definitions for all new data constructs and document the enhancements in a standard document  Research new database technologies and recommend solutions in order to improve performance, scalability, & storage  Prepare data de-duplication, validation, cleansing and transforming  Prepare analysis and visualization with the most suitable visualization tool  To join us in saving lives, changing lives, you will have: Education:  Advanced University degree, or First University degree with additional years of related work experience and/or training/courses.  Experience:  At least three (3) years of postgraduate professional experience in data engineering, data analysis with a focus on developing data pipelines. Knowledge & Skills:   Experience in Project management to ensure successful delivery of data engineering projects. Ability to engage with senior management and stakeholders   Strong programming skills in Python/Pandas  Understanding of versioning tools such as git/Azure and basic CI/CD concepts   Strong skills in SQL and relational databases  Familiarity with data visualization tools (e.g., Tableau)   Before you apply… WFP seeks candidates of the highest integrity and professionalism who share our humanitarian principles. All employment decisions are made on the basis of organizational needs, job requirements, merit, and individual qualifications. WFP is committed to providing an inclusive work environment free of sexual exploitation and abuse, all forms of discrimination, any kind of harassment, sexual harassment, and abuse of authority. Therefore, all selected candidates will undergo rigorous reference and background checks.  We aim to achieve parity and inclusion in our teams in Ukraine. WFP encourages female candidates and people with disabilities to apply.  WFP is committed to an accessible, inclusive recruitment process. Please contact us at [ apply ] to advise us of any disability related reasonable accommodation or accessibility requests you may have. A member of the reasonable accommodation team will contact you to confidentially discuss your needs.  No appointment under any kind of contract will be offered to members of the UN Advisory Committee on Administrative and Budgetary Questions (ACABQ), International Civil Service Commission (ICSC), FAO Finance Committee, WFP External Auditor, WFP Audit Committee, Joint Inspection Unit (JIU) and other similar bodies within the United Nations system with oversight responsibilities over WFP, both during their service and within three years of ceasing that service.  How do you apply To be considered, you are invited to apply via WFP’s recruitment portal: https://wd3.myworkdaysite.com/recruiting/wfp/job_openings/job/Kyiv-Ukraine/Data-Engineer--SQL--Python-Pandas--SC9_JR102385   CV and cover letter must be submitted in English language.  Only those who are short-listed candidates will be contacted for the next steps of our recruitment process.  We also encourage you to create your candidate profile and set up WFP job alerts to learn more about all the opportunities available to join us and make a difference in the lives of the people we serve.",https://www.work.ua/en/jobs/5560000/
Python Developer,"Git,Відповідальність,Docker,Unit-тестування,Програмування,Flask,AWS,pandas,NumPy,Backend-розробка,PyTest,Machine learning",80000–120000 UAH,Siema,"SIEMA TECH  is an international IT company that provides services in the field of software development and consulting. We work with clients from all over the world and use the most modern technologies to ensure the high quality of our work. We are seeking a skilled and motivated  Python Developer  to join our dynamic team. Education and Experience:  A degree in Computer Science, Software Engineering, or a related field is often required.  At least 5 years as Software devoloper in know Software companies or StartUps.  At least 3 years of experience working as a Python developer.  English level: upper intermediate  and above.  Technical Skills:  Proficiency in Python : strong knowledge of Python programming language, including its syntax, idioms, and ecosystem.  Frameworks and libraries : experience with popular Python frameworks and libraries like FastAPI, Flask, Pandas, NumPy, etc.  Database knowledge : familiarity with databases such as SQL, PostgreSQL, MongoDB, etc.  Version control : experience with version control systems like Git.  Testing : familiarity with testing frameworks like unittest, pytest, etc.  Responsibilities:  Software development : writing clean, maintainable, and efficient code.  Integration and deployment : integrating backend services with frontend counterparts and deploying applications.  Testing and debugging : writing unit tests and debugging applications.  Documentation : documenting code and technical specifications.  Adventage:  DevOps : experience with containerization technologies like Docker, and orchestration tools like Kubernetes.  Cloud services : knowledge of cloud platforms like AWS, Azure, or Google Cloud Platform.  Machine learning : basic understanding of machine learning concepts and libraries, and understanding MLPOS life cycle.  We offer:  Ability to work with modern technologies and high-quality projects.  Flexible work schedule and the ability to work remotely.  Assistance (in the absence) in the registration of the IE (legal and accounting support).  Training and continuous development: internal trainings, certification programs, communities of interest, English language courses.  Fully official salary (payment to the IE’s current account).   The interview consists of 4 stages: introductory interview, performance of the technical task, technical interview, interview with the client. If you are interested in this vacancy and meet the requirements, send your resume and motivation letter to our email. We look forward to welcoming you to our team!",https://www.work.ua/en/jobs/5709947/
Python Backend Developer,"MySQL,SQL,GitHub,Python,PostgreSQL,React,Docker,Docker Compose,Redis,Flask,RabbitMQ,Celery,SQLAlchemy,PyTest,FastAPI,Пользователь ОС Linux,Unit-тестирование",54300–76900 UAH,AbeloHost B.V.,"AbeloHost  нідерландська хостинг компанія. З 2012 року наша команда експертів надає надійні, доступні та практичні хостингові рішення, які можуть використовуватись довгі роки.  Ми створили саме адаптивне бухгалтерське рішення на ринку, ґрунтуючись на багаторічному реальному досвіді онлайн-бізнесу і зараз ми шукаємо досвідченого Frontend розробника зі знанням React для розробки клієнтської частини проекту. Ми надамо не лише цінний досвід роботи, а й перспективи професійного та кар'єрного зростання. Вакансія відкрита для різних рівнів фахівців, тому, будь ласка, вкажіть свій рівень, щоб ми передали резюме у відповідний департамент: Junior, Middle, Senior, Lead. Знання та вимоги:    Python 3.10+;  Mysql/Postgresql + Sqlalchemy + Good Knowledge of SQL Queries;  FastAPI/Flask;  Linux (Debian, CentOS);  Docker/Docker Compose;  Celery;  Redis/RabbitMQ;  Microservice Architecture;  Pytest/Unittest;  Знання Information Security ( https://owasp.org/www-project-top-ten/ );  Problem Solving skills;  Вміння комунікувати з людьми з різних галузей (бухгалтерія, дизайн, фронтенд тощо) та вникати в контекст завдання;  Бажання вчитися та розвиватися.  Буде плюсом:    Досвід роботи з Quickbooks Online (у ролі користувача чи розробника API);  Хороші знання Excel/Google Sheets;  Досвід роботи з бухгалтерією (Знання що таке Invoice, Estimate, Bill тощо);  Apache Superset/Microsoft PowerBI;  Досвід роботи з Paypal API, Stripe API та іншими подібними системами;  Вміння читати та розбиратися в чужому коді, переробка Legacy коду;Grafana/ELK.  Обов’язки:    Розробка архітектури сервісів;  ⁠Переробка старого (Legacy) коду;  Додавання функціоналу для нових клієнтів;  Розробка звітів для нових клієнтів;  Тестування та виправлення багів;  Участь у всіх процесах обговорення та розробки продукту.  Умови роботи:    Віддалена робота;  Укладання фріланс контракту;  Заробітна плата: €1200 — €1700/місяць в залежності від вашого поточного рівня (зростатиме в міру отримання досвіду);  Бонусна система.  Наша компанія розвивається динамічно. Шукаємо тих, хто готовий розвиватися разом із нами та шукає перспективу для свого зростання.  Якщо Ви вважаєте, що підходите нам і зацікавлені в цій можливості, надішліть нам відгук разом з посиланням на GitHub.",https://www.work.ua/en/jobs/5748761/
"Python, Django Developer","SQL,Git,Python,PostgreSQL,Відповідальність,Docker,Docker Compose,Django,Selenium,Уважність",,Ван Медіа Імперія,"Проект передбачає розробку веб-додатків на основі Django з інтеграцією з іншими системами через API. Також необхідно автоматизувати задачі за допомогою Selenium та Telegram-бота на основі Telethon. Інфраструктура проекту базується на Docker з використанням PostgreSQL як бази даних.  Обов’язки: 1. Розробка веб-додатків на основі Django:  Створення моделей, в’юшок та шаблонів.  Реалізація CRUD операцій для основних моделей даних.  Написання тестів для забезпечення якості коду.  2. Інтеграція з іншими системами через API:  Розробка та підтримка RESTful API.  Забезпечення безпеки API (аутентифікація, авторизація).  3. Автоматизація задач за допомогою Selenium:  Створення скриптів для автоматизованого тестування веб-додатків.  Інтеграція скриптів автоматизації в CI/CD процеси.  4. Розробка Telegram-ботів за допомогою Telethon:  Створення та налаштування Telegram-ботів.  Автоматизація взаємодії з користувачами через Telegram.  5. Інфраструктура на основі Docker:  Контейнеризація додатків.  Написання Dockerfile та docker-compose.yml для налаштування середовища розробки та продакшену.  6. Використання PostgreSQL як бази даних:  Створення та оптимізація схем баз даних.  Написання складних SQL-запитів для витягування даних.  Вимоги до кандидата: 1. Професійні навички:  Глибоке знання Python та Django.  Досвід роботи з Selenium для автоматизації веб-додатків.  Вміння працювати з Telethon для розробки Telegram-ботів.  Досвід роботи з Docker для контейнеризації додатків.  Знання PostgreSQL та вміння працювати з базами даних.  2. Додаткові навички:  Досвід роботи з CI/CD інструментами.  Знання принципів об'єктно-орієнтованого програмування та дизайну.  Вміння працювати з системами контролю версій (Git).  3. М’які навички:  Здатність працювати в команді та комунікувати з іншими розробниками.  Вміння самостійно вирішувати проблеми та знаходити оптимальні рішення.  Відповідальність та увага до деталей.  Якщо це про тебе і хочеш приєднатись до нашої команди — заповнюй форму:  https://forms.gle/DxJbAV3EkMVMWzkLA   Якщо є питання — пиши:  https://t.me/anastasiia_ArbitrageUp",https://www.work.ua/en/jobs/5739159/
Senior FullStack Engineer (Python/React),"Python,React,AWS",,UKEESS Software House,"The team of UKEESS Software House is currently looking for a Senior FullStack Engineer (Python/React)  to join our team for a full-time position (remotely in Ukraine or in Lviv’s office). About the Customer and the Project: Our customer is the world’s largest DNA network from the USA. This presents a unique opportunity to work with more than 30 billion digitized global historical records, 100 million family trees, and 18+ million people in their growing database. Our customers help people discover their family stories and gain actionable insights about their health and wellness.  About the team: As part of the Data Science Engineering Team, you will be responsible for deploying and operating data science models designed to extract data from images. This includes image classification, image segmentation, handwriting recognition, and natural language processing. The team accepts the models from data scientists as Python applications using the SageMaker Model Registry. Additionally, we build and maintain web applications for model output visualization.  Responsibilities will include:  Maintaining infrastructures and environments of all types, from dev to production  Work with Data Scientists, Data Engineers, Software Engineers, and Product teams  Work on and guide microservice REST API design  Write key algorithms to maximize scalability and reliability  Focus on and working with throughput, scale, cost, and error handling  Write code and unit tests  Conduct code reviews  Diagnose complex problems involving multiple systems and technologies  Security monitoring and administration  Identify opportunities to adopt innovative technologies  Requirements:  6+ years of commercial experience with Python  3+ years of commercial experience with React  3+ years of commercial experience with AWS (SQS, SNS, S3, and Lambdas)  Commercial experience with relational database   3+ years of commercial experience with customer-facing operations, including monitoring, cost analysis, and troubleshooting production issues  English: Upper-intermediate at least (both spoken and written)  It will be a plus:  Bachelor’s degree in a related field or equivalent experience  Terraform and Data Science experience   What do we offer our new colleague?  Competitive compensation (based on market data but also depending on the technical level of the candidate)  Flexible work schedule  3 health packages to choose  Annual paid vacation and state holiday celebration  Free English classes (online)  Individual approach to professional growth  Lack of bureaucracy and micromanagement  Modern, comfortable office facilities (a barbecue zone, kitchens, lounge rooms, coffee machines, etc.)  Foreign business trips (after the war)  On-site parking lot and charge station for Electric Cars  Corporate gifts, celebrations, and fun activities  Sports activities: ping-pong, soccer, work-out  If you have a passion for solving challenging problems; building scalable, robust systems; love working with the latest technologies in a fast-paced, flexible environment; and are excited at the prospect of having a significant impact on products which has more than 3 million paying subscribers, then we want to talk to you! ;-)",https://www.work.ua/en/jobs/5750471/
Викладач у дитячу ІТ-школу програмування (Python),"Python,Активність,Програмування,Креативність,Викладання,Творчий підхід",6000–12000 UAH,"Logika, мiжнародна школа програмування для дiтей","Контакти:   Тел.  +380938659605 Show phone  (Діана) Що таке Logika: Ми впроваджуємо новітні IT технології в навчання школярів. На наших уроках діти не лише вчаться основам програмування, вони розвивають логіку і вміння думати, а в проектній роботі проявляють креативність та творчі здібності. У програму курсу Logika включені частини курсів з фізики, математики, хімії, астрономії, що допомагає дітям зрозуміти, навіщо шкільні предмети потрібні в реальному житті. Logika активно розвивається і в зв’язку із розширеннями відбувається пошук викладачів! Ми пропонуємо:  Робота у вихідні.  Заробітна плата: 450 грн / 1.5 години викладання.  Постійне навчання за рахунок компанії від наших професіоналів.  Зручні локації.  Круте ком’юніті однодумців!  Хто нам потрібен?:  Потрібні круті викладачі, які ладнають із комп’ютером на «ти» та мають активний підхід до своєї роботи.  Необхідні знання у Python. (Або ж досвід із іншими мовами програмування та бажання вивчати нове)  Великою перевагою буде вища освіта в області ІТ, або ж педагогіки/психології.  Якщо Ви маєте досвід у роботі з дітками — це кльово, а якщо немає, то навчимо!  Що потрібно буде робити:  проводити заняття із використанням уже готових методичних матеріалів школи Logika;  створювати та підтримувати дружню робочу атмосферу;  отримувати кайф від роботи із майбутнім нашої країни;  Іноді таки доведеться подавати невеличкі звіти.  Не втрачай можливість — хутчіш залишай відгук, або ж телефонуй!  Тел.  +380938659605 Show phone  (Діана)",https://www.work.ua/en/jobs/4622177/
